,Department,CourseNumber,CourseName,StudentCount,AvgGPA
0,AAS,100,Intro Asian American Studies,291,3.33
1,AAS,215,US Citizenship Comparatively,32,3.69
2,AAS,258,Muslims in America,25,3.91
3,ABE,225,ABE Principles: Bioenvironment,40,3.09
4,ABE,226,ABE Principles: Bioprocessing,41,3.33
5,ABE,425,Engrg Measurement Systems,42,3.75
6,ABE,469,Industry-Linked Design Project,33,3.66
7,ACCY,200,Fundamentals of Accounting,343,3.2
8,ACCY,201,Accounting and Accountancy I,441,3.38
9,ACCY,202,Accounting and Accountancy II,501,3.27
10,ACCY,301,Atg Measurement & Disclosure,152,3.34
11,ACCY,302,Decision Making for Atg,159,3.54
12,ACCY,303,Atg Institutions and Reg,191,3.3
13,ACCY,304,Accounting Control Systems,203,3.38
14,ACCY,312,Principles of Taxation,136,3.34
15,ACCY,398,Practical Problems in Atg,167,3.93
16,ACCY,405,Assurance and Attestation,22,3.2
17,ACCY,410,Advanced Financial Reporting,146,3.33
18,ACCY,415,Auditing Stds and Practice,136,3.46
19,ACCY,451,Advanced Income Tax Problems,135,3.53
20,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",265,3.67
21,ACCY,501,Accounting Analysis I B,220,3.46
22,ACCY,502,Accounting Analysis II B,272,3.26
23,ACCY,503,Managerial Accounting,824,3.58
24,ACCY,504,Auditing,109,3.95
25,ACCY,506,Advanced Topics in Accounting,100,3.66
26,ACCY,507,Taxation of Bus Entities B,107,3.86
27,ACCY,517,Financial Statement Analysis,72,3.8
28,ACCY,518,Financial Statement Fraud,77,3.96
29,ACCY,550,Multistate Taxation,23,3.75
30,ACCY,552,Partnership Income Taxation,52,3.45
31,ACCY,554,International Taxation,25,3.84
32,ACCY,571,Stat Analyses for Accountancy,26,3.87
33,ACCY,575,Data Analytics Apps in ACCY,272,3.82
34,ACCY,576,Data Preparation for Accting,32,3.94
35,ACCY,577,Machine Learning for Accting,27,3.85
36,ACE,100,Intro to Applied Micro,69,2.81
37,ACE,161,Microcomputer Applications,224,3.45
38,ACE,199,Digital Mktg and Social Media,47,3.96
39,ACE,210,Environmental Economics,112,3.32
40,ACE,231,Food and Agribusiness Mgt,169,3.56
41,ACE,232,Farm Management,52,3.63
42,ACE,240,Personal Financial Planning,627,3.72
43,ACE,251,The World Food Economy,73,2.94
44,ACE,254,Economic Systems in Africa,32,3.44
45,ACE,255,Econ of Food & Enviro Justice,128,3.89
46,ACE,261,Applied Statistical Methods,68,3.0
47,ACE,264,App Stat Mthds & Data Anlytcs2,40,2.74
48,ACE,270,Consumer Economics,80,2.87
49,ACE,300,Interm. Applied Microeconomics,60,3.36
50,ACE,310,Natural Resource Economics,55,3.57
51,ACE,335,Food Marketing and Behavior,54,3.79
52,ACE,341,Contemporary Issues in Policy,34,3.8
53,ACE,360,Spreadsheet Models & Applic,79,3.56
54,ACE,398,Values Based Fin Plan,36,3.77
55,ACE,403,Agricultural Law,23,3.56
56,ACE,427,Commodity Price Analysis,34,3.3
57,ACE,428,Commodity Futures and Options,37,3.65
58,ACE,430,Food Marketing,39,3.12
59,ACE,431,Agri-food Strategic Management,38,3.76
60,ACE,435,Global Agribusiness Management,72,3.47
61,ACE,440,Finan Plan for Professionals,37,3.57
62,ACE,444,Finan Serv & Invest Plan,47,3.58
63,ACE,446,Modeling App's Finan Plan,53,3.83
64,ACE,449,Retirement & Benefit Planning,64,3.77
65,ACE,451,Agriculture in Intl Dev,38,3.32
66,ACE,474,Econ of Consumption,53,2.91
67,ACE,476,Behavioral Economics,54,3.04
68,ADV,150,Introduction to Advertising,257,3.73
69,ADV,270,Principles of Sales,63,3.86
70,ADV,281,Advertising Research Methods,118,3.44
71,ADV,283,Advertising and Brand Strategy,108,3.8
72,ADV,284,Consumer Insight,118,3.54
73,ADV,290,Sports PR,39,3.9
74,ADV,310,Intro to Public Relations,42,3.08
75,ADV,311,Classic Campaigns,49,3.46
76,ADV,312,Advertising History,27,3.07
77,ADV,320,Sales Management,104,3.47
78,ADV,350,Writing for Public Relations,29,3.98
79,ADV,370,Sales and the Consumer,118,3.64
80,ADV,390,Content Creation,82,3.06
81,ADV,409,Media Entrepreneurship,35,3.72
82,ADV,410,Public Relations Strategies,32,3.78
83,ADV,460,Innovation in Advertising,97,3.56
84,ADV,483,Audience Analysis,132,3.34
85,ADV,490,Social Media Analytics,34,3.94
86,ADV,498,The Sandage Project,54,3.82
87,AE,199,Computer-Aided Design,58,3.62
88,AE,311,Incompressible Flow,31,3.15
89,AE,312,Compressible Flow,74,3.44
90,AE,321,Mechs of Aerospace Structures,44,3.05
91,AE,323,Applied Aerospace Structures,74,3.25
92,AE,352,Aerospace Dynamical Systems,51,2.9
93,AE,353,Aerospace Control Systems,59,2.96
94,AE,370,Aerospace Numerical Methods,105,3.28
95,AE,403,Spacecraft Attitude Control,28,3.4
96,AE,410,Computational Aerodynamics,30,3.22
97,AE,419,Aircraft Flight Mechanics,36,3.45
98,AE,443,Aerospace Systems Design II,50,3.57
99,AE,461,Structures & Control Lab,98,3.71
100,AFRO,100,Intro to African American St,80,3.75
101,AFRO,101,"Black America, 1619-Present",49,3.15
102,AFRO,103,Black Women in the Diaspora,29,3.6
103,AFRO,132,African American Music,29,3.6
104,AFRO,224,Race and Food Security,26,3.81
105,AFRO,228,Hip Hop Music: History&Culture,28,3.74
106,AFRO,243,Pan Africanism,23,3.71
107,AGCM,220,Communicating Agriculture,40,3.6
108,AGCM,230,Ag & Env Photography,24,3.42
109,AGCM,315,Emerging Media,22,3.59
110,AIS,101,Intro to Amer Indian Studies,104,3.61
111,AIS,285,Indigenous Thinkers,25,3.81
112,ANSC,100,Intro to Animal Sciences,24,3.63
113,ANSC,101,Contemporary Animal Issues,215,3.74
114,ANSC,103,Working With Farm Animals,74,3.99
115,ANSC,110,Life With Animals and Biotech,30,3.31
116,ANSC,205,World Animal Resources,64,3.75
117,ANSC,207,Companion Animal Biology &Care,213,3.27
118,ANSC,210,Grilling and BBQ Science,31,2.72
119,ANSC,223,Animal Nutrition,151,3.16
120,ANSC,224,Animal Reproduction and Growth,143,2.92
121,ANSC,250,Companion Animals in Society,322,3.63
122,ANSC,256,Horse's Role in Human History,30,2.34
123,ANSC,298,Undergraduate Seminar,72,3.8
124,ANSC,305,Human Animal Interactions,49,3.82
125,ANSC,306,Equine Science,31,3.91
126,ANSC,363,Behavior of Domestic Animals,51,3.86
127,ANSC,370,Companion Animal Policy,85,3.26
128,ANSC,407,Animal Shelter Management,32,3.46
129,ANSC,409,Meat Science,47,3.67
130,ANSC,424,Pet Food & Feed Manufacturing,38,3.47
131,ANSC,438,Lactation Biology,54,3.8
132,ANSC,446,Population Genetics,29,3.45
133,ANSC,450,Comparative Immunobiology,80,2.48
134,ANSC,498,Integrating Animal Sciences,72,3.68
135,ANSC,499,Southern African Wildlife II,26,3.28
136,ANSC,520,Protein and Energy Nutrition,30,3.42
137,ANTH,101,Introduction to Anthropology,104,2.94
138,ANTH,103,Anthro in a Changing World,679,3.85
139,ANTH,105,World Archaeology,25,3.11
140,ANTH,106,Hist Arch Americas,91,3.93
141,ANTH,175,Archaeology and Pop Culture,22,3.62
142,ANTH,182,Latin American Cultures,24,3.58
143,ANTH,246,Forensic Science,1149,3.66
144,ANTH,278,Climate Change & Civilization,32,3.93
145,ARAB,150,Lang&Culture of Arab World,34,3.2
146,ARAB,404,Intermediate Stand Arabic II,21,3.89
147,ARCH,172,Drawing and Modeling,132,3.45
148,ARCH,232,Structural Fundamentals,108,3.4
149,ARCH,274,Representation,102,2.9
150,ARCH,407,Rome: City of Visible History,23,3.55
151,ARCH,409,Special Topics in Spanish Arch,35,3.62
152,ARCH,416,Architecture of the U.S.,35,3.34
153,ARCH,435,Struct Sys and Const Methods,76,3.01
154,ARCH,452,Theory of Reinforced Concrete,93,3.32
155,ARCH,468,Overseas Architectural Studies,40,3.72
156,ARCH,475,Arch Design & Development,24,3.35
157,ARCH,501,Architectural Practice,58,3.66
158,ARCH,517,Arch History 1850-Present,59,3.88
159,ARCH,537,Environ Control Systems II,21,3.44
160,ART,310,Design Thinking,48,3.79
161,ARTD,218,Interaction Design Foundation,54,3.79
162,ARTD,302,Industrial Design IV,22,3.68
163,ARTD,326,Sustainability & Manufacturing,62,3.51
164,ARTD,333,Type & Image,22,3.53
165,ARTD,448,Professional Design Practice,57,3.53
166,ARTD,471,Graphic Design Capstone,58,3.67
167,ARTD,499,Product Innovation Research,21,3.88
168,ARTE,101,"Art, Design, and Society",172,3.4
169,ARTH,240,Art of the Nineteenth Century,28,3.44
170,ARTH,241,"Modern Art, 1880-1940",39,3.46
