,Department,CourseNumber,CourseName,StudentCount,AvgGPA
0,AAS,100,Intro Asian American Studies,281,3.52
1,AAS,105,Intro to Arab Am Studies,33,3.7
2,AAS,120,Intro to Asian Am Pop Culture,30,3.62
3,AAS,200,U.S. Race and Empire,30,3.52
4,ABE,100,Intro Agric & Biological Engrg,30,3.6
5,ABE,199,Water in the Global Environ,22,3.97
6,ABE,224,ABE Principles: Soil & Water,34,3.71
7,ABE,430,Project Management,35,3.92
8,ABE,436,Renewable Energy Systems,35,3.41
9,ABE,488,Bioprocessing Biomass for Fuel,23,3.35
10,ACCY,200,Fundamentals of Accounting,296,3.11
11,ACCY,201,Accounting and Accountancy I,482,3.01
12,ACCY,202,Accounting and Accountancy II,336,3.26
13,ACCY,301,Atg Measurement & Disclosure,221,3.32
14,ACCY,302,Decision Making for Atg,231,3.42
15,ACCY,303,Atg Institutions and Reg,123,3.41
16,ACCY,304,Accounting Control Systems,201,3.43
17,ACCY,312,Principles of Taxation,183,3.32
18,ACCY,405,Assurance and Attestation,218,3.33
19,ACCY,410,Advanced Financial Reporting,164,3.31
20,ACCY,451,Advanced Income Tax Problems,80,3.38
21,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",989,3.7
22,ACCY,501,Accounting Analysis I B,422,3.48
23,ACCY,502,Accounting Analysis II B,101,3.46
24,ACCY,504,Auditing B,295,3.51
25,ACCY,505,Federal Taxation B,468,3.6
26,ACCY,506,Advanced Financial Reporting,51,3.39
27,ACCY,510,Financial Reporting Standards,71,3.73
28,ACCY,512,Data Analytics for Mgmt Acctg,62,3.83
29,ACCY,515,Auditing & Assurance Standards,47,3.38
30,ACCY,517,Financial Statement Analysis,22,3.89
31,ACCY,518,Financial Statement Fraud,57,3.97
32,ACCY,551,Corporate Income Taxation,39,3.53
33,ACCY,556,Tax Research,28,3.79
34,ACCY,569,Data Driven Decisions in Acctg,69,3.58
35,ACCY,570,Data Analytics Foundations,109,3.85
36,ACE,161,Microcomputer Applications,134,3.6
37,ACE,199,Digital Mktg and Social Media,36,3.64
38,ACE,203,Intro to Public Policy & Law,34,3.67
39,ACE,210,Environmental Economics,116,3.47
40,ACE,222,Agricultural Marketing,147,3.51
41,ACE,240,Personal Financial Planning,573,3.55
42,ACE,251,The World Food Economy,309,3.53
43,ACE,261,Applied Statistical Methods,69,3.15
44,ACE,262,App Stat Mthds & Data AnlytcsI,77,3.23
45,ACE,264,App Stat Mthds & Data Anlytcs2,47,2.72
46,ACE,300,Interm. Applied Microeconomics,99,3.62
47,ACE,310,Natural Resource Economics,43,2.71
48,ACE,341,Issues in AgAccy and FinAg,236,3.57
49,ACE,345,Finan Decision Indiv Sm Bus,107,3.53
50,ACE,346,Tax Policy and Finan Planning,96,3.46
51,ACE,360,Spreadsheet Models & Applic,31,3.47
52,ACE,398,Risk Mngmt in Personal Fin Pla,60,3.73
53,ACE,406,Environmental Law,48,2.9
54,ACE,411,Environment and Development,40,3.3
55,ACE,427,Commodity Price Analysis,51,2.95
56,ACE,435,Global Agribusiness Management,102,3.95
57,ACE,444,Finan Serv & Invest Plan,67,3.55
58,ACE,445,Int Personal Fin & Estate Plan,98,3.82
59,ACE,455,Intl Trade in Food and Agr,56,3.13
60,ACE,474,Econ of Consumption,35,2.82
61,ACE,476,Behavioral Economics,47,3.11
62,ACES,101,Contemporary Issues in ACES,224,3.78
63,ACES,179,History of Ag in IL Since 1860,60,3.14
64,ADV,150,Introduction to Advertising,311,3.72
65,ADV,270,Principles of Sales,76,3.7
66,ADV,281,Advertising Research Methods,101,3.27
67,ADV,283,Advertising and Brand Strategy,118,3.52
68,ADV,284,Consumer Insight,84,3.72
69,ADV,305,Digital ADV Content,77,3.8
70,ADV,310,Intro to Public Relations,95,3.3
71,ADV,311,Classic Campaigns,45,3.33
72,ADV,320,Sales Management,98,3.44
73,ADV,370,Sales and the Consumer,110,3.45
74,ADV,390,Content Creation,130,3.47
75,ADV,393,Advertising and Society,95,3.5
76,ADV,409,Media Entrepreneurship,46,3.78
77,ADV,460,Innovation in Advertising,124,3.77
78,ADV,483,Audience Analysis,91,3.52
79,ADV,498,The Sandage Project,26,3.82
80,AE,100,Intro to Aerospace Engineering,143,3.6
81,AE,140,CAD,79,3.57
82,AE,199,"Design, Build, Fly",26,3.46
83,AE,202,Aerospace Flight Mechanics,38,3.07
84,AE,311,Incompressible Flow,94,3.43
85,AE,312,Compressible Flow,40,3.67
86,AE,321,Mechs of Aerospace Structures,93,3.11
87,AE,323,Applied Aerospace Structures,47,2.94
88,AE,352,Aerospace Dynamical Systems,84,3.57
89,AE,353,Aerospace Control Systems,41,3.08
90,AE,412,Viscous Flow & Heat Transfer,30,3.6
91,AE,416,Applied Aerodynamics,26,3.29
92,AE,433,Aerospace Propulsion,114,3.34
93,AE,442,Aerospace Systems Design I,99,2.95
94,AE,460,Aerodynamics & Propulsion Lab,113,3.51
95,AE,483,Autonomous Systems Lab,113,3.63
96,AFRO,100,Intro to African American St,62,3.24
97,AFRO,101,"Black America, 1619-Present",45,2.9
98,AFRO,132,African American Music,29,3.57
99,AFRO,228,Hip Hop Music: History&Culture,29,3.68
100,AFRO,243,Pan Africanism,24,3.01
101,AGCM,220,Communicating Agriculture,27,3.65
102,AGED,496,Beginning Ag Teacher Seminar,28,3.96
103,AHS,125,James Scholars Seminar,22,3.86
104,AHS,199,Undergraduate Open Seminar,55,3.82
105,AIS,265,Intro to American Indian Lit,26,3.05
106,AIS,285,Indigenous Thinkers,28,3.66
107,ALEC,110,Intro to ALEC,40,3.9
108,ANSC,100,Intro to Animal Sciences,197,3.72
109,ANSC,103,Working With Farm Animals,65,3.94
110,ANSC,205,World Animal Resources,325,3.8
111,ANSC,206,Horse Management,50,3.95
112,ANSC,207,Companion Animal Biology &Care,94,3.69
113,ANSC,221,"Cells, Metabolism and Genetics",190,2.95
114,ANSC,222,Anatomy and Physiology,199,3.42
115,ANSC,250,Companion Animals in Society,402,3.64
116,ANSC,251,Epidemics & Infectious Disease,58,3.29
117,ANSC,256,Horse's Role in Human History,33,2.63
118,ANSC,298,Undergraduate Seminar,90,3.56
119,ANSC,305,Human Animal Interactions,68,3.74
120,ANSC,307,Companion Animal Management,58,3.64
121,ANSC,350,Cellular Metabolism in Animals,47,3.11
122,ANSC,422,Companion Animal Nutrition,84,3.66
123,ANSC,424,Pet Food & Feed Manufacturing,26,3.65
124,ANSC,431,Advanced Reproductive Biology,34,3.76
125,ANSC,445,Statistical Methods,33,3.88
126,ANSC,452,Animal Growth and Development,62,3.69
127,ANSC,498,Integrating Animal Sciences,69,3.77
128,ANSC,526,Adv Companion Animal Nutrition,37,3.7
129,ANTH,101,Introduction to Anthropology,302,3.22
130,ANTH,102,Human Origins and Culture,160,2.84
131,ANTH,103,Anthro in a Changing World,715,3.7
132,ANTH,143,Biology of Human Behavior,341,3.49
133,ANTH,220,Introduction to Archaeology,24,3.57
134,ANTH,241,Human Biological Variation,21,3.9
135,ANTH,246,Forensic Science,1139,3.57
136,ANTH,248,Intro to Engaged and Publ Anth,26,3.83
137,ANTH,259,Latina/o Anthropology,22,3.85
138,ANTH,262,Women's Lives,33,3.33
139,ANTH,278,Climate Change & Civilization,34,3.71
140,ANTH,279,"Economy, Business & Society",67,3.17
141,ANTH,343,Behavior and Biology of Women,23,3.54
142,ARAB,150,Lang&Culture of Arab World,21,3.51
143,ARCH,171,Concepts & Theories Arch Dsgn,162,3.39
144,ARCH,210,Intro Hist of World Arch,107,3.03
145,ARCH,231,Anatomy of Buildings,91,3.26
146,ARCH,273,Strategies of Arch Design,100,2.85
147,ARCH,321,"Environ, Arch & Global Health",114,3.67
148,ARCH,417,Modern & Contemp Architecture,28,3.33
149,ARCH,433,Des of Steel & Reinf Conc Str,115,2.93
150,ARCH,434,Environ Control Systems I,118,3.44
151,ARCH,536,Plng & Design of Struct Sys,45,2.99
152,ARCH,577,Theories of Architecture,48,3.29
153,ART,310,Design Thinking,42,3.73
154,ARTD,222,Typographic Practice,71,3.65
155,ARTD,251,Graphic Design Toolbox,70,2.99
156,ARTD,270,Design Methods,79,2.74
157,ARTD,318,Interaction Design,25,3.52
158,ARTD,351,Graphic Design Inquiry,67,3.67
159,ARTD,426,Product Innovation,59,3.75
160,ARTD,451,EDGE,43,3.75
161,ARTF,101,Contemporary Issues in Art,179,3.16
162,ARTH,110,Intro History of Art & Visual,85,3.29
163,ARTH,250,American Art,40,3.19
164,ARTH,257,History of Photography,94,3.44
165,ARTH,299,"Maya, Aztec, Inca: Ancient Art",25,3.75
166,ARTH,402,Ways of Seeing in Edo Japan,36,3.42
167,ARTS,220,Introduction to Fashion,34,3.87
168,ASRM,195,Foundations of Data Management,47,3.91
169,ASRM,210,Theory of Interest,63,3.58
170,ASRM,406,Lin Algebra & Financial Apps,73,3.85
171,ASRM,410,Investments and Fin Markets,54,3.74
172,ASRM,461,Loss Models,32,3.23
173,ASRM,471,Life Contingencies I,80,3.8
174,ASTR,100,Introduction to Astronomy,611,3.15
175,ASTR,121,Solar System and Worlds Beyond,143,3.35
176,ASTR,122,Stars and Galaxies,199,3.39
177,ASTR,150,Killer Skies: Astro-Disasters,124,3.56
178,ASTR,210,Introduction to Astrophysics,58,3.01
179,ASTR,350,"Big Bang,Black Holes,Universe",59,3.48
180,ASTR,404,Stellar Astrophysics,42,2.87
181,ASTR,406,Galaxies and the Universe,29,3.09
182,ATMS,100,Introduction to Meteorology,136,3.12
183,ATMS,120,Severe and Hazardous Weather,504,3.39
