,Department,CourseNumber,CourseName,StudentCount,AvgGPA
1044,ME,470,Senior Design Project,87,3.85
1045,ME,471,Finite Element Analysis,34,3.01
1046,ME,482,Musculoskel Tissue Mechanics,25,3.74
1047,ME,487,MEMS-NEMS Theory & Fabrication,25,3.44
1048,MILS,120,Intro to US Armed Forces,25,3.04
1049,MSE,101,Materials in Today's World,38,3.78
1050,MSE,182,Introduction to MatSE,86,3.67
1051,MSE,201,Phases and Phase Relations,68,3.27
1052,MSE,280,Engineering Materials,143,3.57
1053,MSE,307,Materials Laboratory I,50,3.73
1054,MSE,401,Thermodynamics of Materials,88,3.03
1055,MSE,403,Synthesis of Materials,28,3.29
1056,MSE,406,Thermal-Mech Behavior of Matls,68,2.88
1057,MSE,421,Ceramic Processing,21,3.19
1058,MSE,440,Mechanical Behavior of Metals,24,3.04
1059,MSE,456,Mechanics of Composites,33,3.01
1060,MSE,457,Polymer Chemistry,84,3.29
1061,MSE,470,Design and Use of Biomaterials,83,3.67
1062,MSE,480,Surfaces and Colloids,61,3.56
1063,MSE,500,Statistical Thermodyn of Matls,38,3.57
1064,MUS,103,Rudiments of Music Theory I,36,3.12
1065,MUS,105,Computation and Music I,22,3.08
1066,MUS,110,Introd Art Mus: Intl Perspect,123,3.58
1067,MUS,130,Introd to the Art of Music,167,3.23
1068,MUS,133,INTRODUCTION TO WORLD MUSIC,459,3.41
1069,MUS,240,Orientation Mus Tchg Lrng K-HS,23,3.61
1070,MUS,243,Introductory Music Ed Tech,44,3.83
1071,MUS,261,University Chorus,37,3.76
1072,MUS,268,Wind Symphony,36,3.97
1073,MUS,269,Wind Orchestra,51,3.96
1074,MUS,313,The History of Music I,88,3.03
1075,MUS,343,Music in Adolescence,44,3.64
1076,MUS,350,Music Teaching in Ens Settings,27,3.3
1077,MUS,407,Elect Music Techniques I,33,3.56
1078,MUS,408,Music since World War II,23,3.52
1079,MUS,418,Music of the Spanish Atlantic,22,3.58
1080,MUS,443,Orchestral Repertory,24,3.67
