,Department,CourseNumber,CourseName,StudentCount,AvgGPA
0,AAS,100,Intro Asian American Studies,276,3.53
1,AAS,215,US Citizenship Comparatively,31,3.15
2,AAS,246,Asian American Youth in Film,35,3.89
3,AAS,258,Muslims in America,25,3.57
4,ABE,225,ABE Principles: Bioenvironment,26,3.29
5,ABE,226,ABE Principles: Bioprocessing,23,2.97
6,ABE,425,Engrg Measurement Systems,38,3.97
7,ABE,457,NPS Pollution Processes,29,3.58
8,ABE,469,Industry-Linked Design Project,28,3.83
9,ACCY,200,Fundamentals of Accounting,361,3.09
10,ACCY,201,Accounting and Accountancy I,421,2.49
11,ACCY,202,Accounting and Accountancy II,476,3.09
12,ACCY,301,Atg Measurement & Disclosure,179,3.34
13,ACCY,302,Decision Making for Atg,191,3.54
14,ACCY,303,Atg Institutions and Reg,235,3.32
15,ACCY,304,Accounting Control Systems,213,3.37
16,ACCY,312,Principles of Taxation,182,3.37
17,ACCY,398,Practical Problems in Atg,84,3.48
18,ACCY,405,Assurance and Attestation,193,3.31
19,ACCY,410,Advanced Financial Reporting,185,3.19
20,ACCY,451,Advanced Income Tax Problems,94,3.47
21,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",731,3.6
22,ACCY,501,Accounting Analysis I,196,3.54
23,ACCY,502,Accounting Analysis II,425,3.36
24,ACCY,503,Managerial Accounting B,1180,3.55
25,ACCY,507,Taxation of Bus Entities B,214,3.71
26,ACCY,510,Financial Reporting Standards,31,3.83
27,ACCY,512,Data Analytics for Mgmt Acctg,56,3.42
28,ACCY,515,Auditing & Assurance Standards,29,3.43
29,ACCY,517,Financial Statement Analysis,82,3.84
30,ACCY,552,Partnership Income Taxation,47,3.6
31,ACCY,570,Data Analytics Foundations,29,3.85
32,ACCY,571,Stat Analyses for Accountancy,28,3.81
33,ACCY,574,Risk Management and Innovation,71,3.86
34,ACCY,575,Data Analytics Apps in ACCY,183,3.74
35,ACCY,576,Data Preparation for Accting,72,3.78
36,ACCY,577,Machine Learning for Accting,62,3.86
37,ACE,161,Microcomputer Applications,180,3.31
38,ACE,199,Negotiation,170,3.68
39,ACE,210,Environmental Economics,110,2.73
40,ACE,231,Food and Agribusiness Mgt,124,3.34
41,ACE,232,Farm Management,66,3.42
42,ACE,240,Personal Financial Planning,554,3.6
43,ACE,251,The World Food Economy,116,2.91
44,ACE,254,Economic Systems in Africa,42,3.25
45,ACE,255,Econ of Food & Enviro Justice,191,3.78
46,ACE,262,App Stat Mthds & Data AnlytcsI,48,2.72
47,ACE,264,App Stat Mthds & Data Anlytcs2,90,2.68
48,ACE,270,Consumer Economics,98,3.29
49,ACE,300,Interm. Applied Microeconomics,117,3.38
50,ACE,306,Food Law,45,2.96
51,ACE,310,Natural Resource Economics,41,3.67
52,ACE,335,Food Marketing and Behavior,35,3.64
53,ACE,341,Issues&Careers in Applied Econ,35,3.28
54,ACE,360,Spreadsheet Models & Applic,52,3.26
55,ACE,398,Financial Planning Technologie,50,3.84
56,ACE,410,Energy Economics,24,3.07
57,ACE,427,Commodity Price Analysis,52,3.12
58,ACE,428,Commodity Futures and Options,48,3.53
59,ACE,430,Food Marketing,56,3.12
60,ACE,431,Agri-food Strategic Management,36,3.44
61,ACE,435,Global Agribusiness Management,91,3.23
62,ACE,440,Finan Plan for Professionals,55,3.26
63,ACE,444,Finan Serv & Invest Plan,86,3.16
64,ACE,446,Modeling App's Finan Plan,31,3.43
65,ACE,449,Retirement & Benefit Planning,73,3.31
66,ACE,451,Agriculture in Intl Dev,33,3.35
67,ACE,456,Agr and Food Policies,30,2.66
68,ACE,474,Econ of Consumption,51,3.42
69,ACE,476,Behavioral Economics,34,3.39
70,ACE,592,Data Science for Applied Econo,31,3.56
71,ACES,102,Intro Sustainable Food Systems,48,3.63
72,ACES,179,History of Ag in IL Since 1860,34,3.59
73,ADV,150,Introduction to Advertising,221,3.61
74,ADV,270,Principles of Sales,64,3.43
75,ADV,281,Advertising Research Methods,120,3.19
76,ADV,283,Advertising and Brand Strategy,103,3.56
77,ADV,284,Consumer Insight,105,3.36
78,ADV,290,Sports PR,30,3.94
79,ADV,305,Digital ADV Content,80,3.75
80,ADV,310,Intro to Public Relations,63,2.82
81,ADV,311,Classic Campaigns,55,3.4
82,ADV,320,Sales Management,77,3.38
83,ADV,350,Writing for Public Relations,30,3.98
84,ADV,370,Sales and the Consumer,104,3.22
85,ADV,390,Content Creation,129,3.21
86,ADV,400,NSAC Campaign,28,3.94
87,ADV,409,Media Entrepreneurship,22,3.97
88,ADV,410,Public Relations Strategies,45,3.83
89,ADV,460,Innovation in Advertising,123,3.56
90,ADV,483,Audience Analysis,125,3.59
91,ADV,490,Social Media Analytics,27,3.83
92,ADV,498,The Sandage Project,122,3.78
93,AE,140,CAD,74,3.22
94,AE,202,Aerospace Flight Mechanics,105,3.54
95,AE,311,Incompressible Flow,31,3.79
96,AE,312,Compressible Flow,84,2.7
97,AE,321,Mechs of Aerospace Structures,41,3.37
98,AE,323,Applied Aerospace Structures,90,2.69
99,AE,352,Aerospace Dynamical Systems,38,2.98
100,AE,353,Aerospace Control Systems,87,2.72
101,AE,370,Aerospace Numerical Methods,124,3.44
102,AE,410,Computational Aerodynamics,36,3.41
103,AE,435,Electric Propulsion,35,2.96
104,AE,443,Aerospace Systems Design II,96,3.72
105,AE,461,Structures & Control Lab,120,3.2
106,AE,498,Intro to Human Spaceflight,28,3.75
107,AE,502,Advanced Orbital Mechanics,21,3.86
108,AFRO,100,Intro to African American St,76,3.59
109,AFRO,101,"Black America, 1619-Present",56,3.27
110,AFRO,103,Black Women in the Diaspora,21,2.35
111,AFRO,105,Black Literature in America,25,3.16
112,AFRO,132,African American Music,116,2.97
113,AFRO,224,Race and Food Security,32,3.93
114,AFRO,228,Hip Hop Music: History&Culture,30,3.94
115,AFRO,243,Pan Africanism,22,3.5
116,AFRO,261,Intro to the African Diaspora,26,3.03
117,AFST,210,Intro to Mod African Lit,34,3.19
118,AGCM,230,Ag & Env Photography,25,3.01
119,AGCM,320,Public Information Campaigns,30,3.49
120,AIS,101,Intro to Amer Indian Studies,56,3.74
121,AIS,265,Intro to American Indian Lit,23,2.7
122,AIS,285,Indigenous Thinkers,24,3.82
123,ALEC,540,Volunteer Management,27,3.78
124,ANSC,100,Intro to Animal Sciences,45,3.64
125,ANSC,101,Contemporary Animal Issues,178,3.75
126,ANSC,103,Working With Farm Animals,58,3.97
127,ANSC,205,World Animal Resources,87,3.59
128,ANSC,207,Science of Pets and Their Care,140,3.13
129,ANSC,210,Grilling and BBQ Science,80,3.62
130,ANSC,223,Animal Nutrition,174,3.37
131,ANSC,224,Animal Reproduction and Growth,170,2.87
132,ANSC,250,Companion Animals in Society,371,3.38
133,ANSC,298,Undergraduate Seminar,78,3.38
134,ANSC,305,Human Animal Interactions,73,3.69
135,ANSC,363,Behavior of Domestic Animals,64,3.22
136,ANSC,370,Companion Animal Policy,62,3.08
137,ANSC,406,Zoo Animal Conservation Sci,164,3.73
138,ANSC,407,Animal Shelter Management,38,3.18
139,ANSC,409,Meat Science,24,3.67
140,ANSC,438,Lactation Biology,37,3.65
141,ANSC,446,Population Genetics,30,3.24
142,ANSC,450,Comparative Immunobiology,34,2.32
143,ANSC,498,Integrating Animal Sciences,57,3.78
144,ANSC,520,Protein and Energy Nutrition,27,2.91
145,ANSC,526,Adv Companion Animal Nutrition,31,3.87
146,ANTH,101,Introduction to Anthropology,366,2.6
147,ANTH,102,Human Origins and Culture,81,3.33
148,ANTH,103,Anthro in a Changing World,661,3.72
149,ANTH,105,World Archaeology,38,3.75
150,ANTH,106,Hist Arch Americas,93,3.62
151,ANTH,160,Race & Contemporary Issues,26,3.89
152,ANTH,180,The Archaeology of Death,286,3.84
153,ANTH,182,Latin American Cultures,23,3.7
154,ANTH,230,Sociocultural Anthropology,25,2.71
155,ANTH,246,Forensic Science,1151,3.57
156,ANTH,249,Evolution and Human Disease,26,3.49
157,ANTH,268,Images of the Other,39,3.31
158,ANTH,462,Museum Theory and Practice,33,3.53
159,ARAB,150,Lang&Culture of Arab World,40,2.28
160,ARCH,172,Drawing and Modeling,145,3.64
161,ARCH,232,Structural Fundamentals,94,2.77
162,ARCH,274,Representation,91,3.24
163,ARCH,407,Rome: City of Visible History,23,3.36
164,ARCH,416,Architecture of the U.S.,34,3.18
165,ARCH,435,Struct Sys and Const Methods,87,3.29
166,ARCH,501,Architectural Practice,63,3.75
167,ARCH,517,Arch History 1850-Present,50,3.44
168,ARCH,593,Design & Construction Futures,45,3.86
169,ART,310,Design Thinking,41,3.82
170,ARTD,209,Chado (The Way of Tea),36,3.67
171,ARTD,218,Interaction Design Foundation,71,3.47
172,ARTD,299,Illustration,70,3.76
173,ARTD,326,Sustainability & Manufacturing,58,3.77
174,ARTD,418,Advanced Interaction Design,64,3.29
175,ARTD,448,Professional Design Practice,54,3.57
176,ARTD,471,Graphic Design Capstone,23,3.71
177,ARTE,101,"Art, Design, and Society",171,3.38
178,ARTH,211,Design History Survey,172,3.56
179,ARTH,235,Art and Power in 17th c Europe,33,3.24
180,ARTH,242,Art Since 1940,44,3.26
181,ARTH,361,Contemporary Art,43,3.18
182,ARTH,403,Word and Image in Chinese Art,30,3.11
183,ARTS,220,Introduction to Fashion,32,3.85
184,ASRM,210,Theory of Interest,37,3.3
185,ASRM,406,Lin Algebra & Financial Apps,41,3.47
186,ASRM,409,Stoch Proc for Fin & Insurance,80,3.37
187,ASRM,410,Investments and Fin Markets,53,3.57
188,ASRM,461,Loss Models,47,3.62
189,ASRM,472,Life Contingencies II,35,3.36
190,ASTR,100,Introduction to Astronomy,391,2.99
191,ASTR,121,Solar System and Worlds Beyond,168,3.26
192,ASTR,122,Stars and Galaxies,180,3.38
193,ASTR,150,Killer Skies: Astro-Disasters,123,3.5
194,ASTR,210,Introduction to Astrophysics,71,3.13
195,ASTR,310,Computing in Astronomy,42,3.19
196,ASTR,330,Extraterrestrial Life,194,3.72
197,ASTR,405,Planetary Systems,41,3.07
198,ASTR,414,Astronomical Techniques,24,3.4
199,ATMS,100,Introduction to Meteorology,158,2.88
200,ATMS,120,Severe and Hazardous Weather,508,3.48
201,ATMS,140,Climate and Global Change,75,2.65
202,ATMS,306,Cloud Physics,21,3.13
203,ATMS,517,Data Science for Geosciences,21,3.9
204,BADM,210,Business Analytics I,330,3.21
205,BADM,211,Business Analytics II,437,3.63
206,BADM,275,Operations Management,289,3.86
207,BADM,300,The Legal Environment of Bus,394,3.71
208,BADM,310,Mgmt and Organizational Beh,743,3.62
209,BADM,311,Leading Individuals and Teams,113,3.44
210,BADM,312,Designing and Managing Orgs,121,3.52
211,BADM,313,Strategic Human Res Management,90,3.69
212,BADM,314,Leading Negotiations,121,3.6
213,BADM,320,Principles of Marketing,834,3.8
214,BADM,322,Marketing Research,114,3.9
215,BADM,323,Marketing Communications,101,3.38
216,BADM,325,Consumer Behavior,97,3.8
217,BADM,326,Pricing Strategy,34,3.55
218,BADM,327,Marketing to Business and Govt,32,3.91
219,BADM,329,New Product Development,45,3.89
220,BADM,330,Brand Management,39,3.81
221,BADM,335,Supply Chain Management Basics,25,3.36
222,BADM,340,Ethical Dilemmas of Business,140,3.67
223,BADM,350,IT for Networked Organizations,165,3.74
224,BADM,351,E-Business Management,124,3.84
225,BADM,352,Database Design and Management,183,3.67
226,BADM,353,Info Sys Analysis and Design,127,3.57
227,BADM,359,Bus Prob Form and Soln,51,3.85
228,BADM,366,Product Design and Development,67,3.89
229,BADM,374,Management Decision Models,41,3.86
230,BADM,375,Operations Management,119,3.94
231,BADM,379,Business Process Improvement,30,3.87
232,BADM,380,International Business,67,3.64
233,BADM,381,Multinational Management,32,3.58
234,BADM,382,International Marketing,34,3.66
235,BADM,403,Corporate & Commercial Law,55,3.77
236,BADM,420,Advanced Marketing Management,77,3.62
237,BADM,449,Business Policy and Strategy,421,3.56
238,BADM,453,Business Intelligence,63,3.96
239,BADM,502,Communicating with Data,45,3.04
240,BADM,508,Leadership and Teams,1063,3.88
